date,time_class,opening,move_no,side,phase,sharp,loss,played,best,fen,game
2026-09-21,rapid,Kings Pawn Opening,21,white,middlegame,False,45.8,Bh4,Be3,R2b3r/1pp1kp2/4bnpp/1P2p1B1/4P3/2Pr3P/1P1NNPP1/5RK1 w - - 0 21,https://www.chess.com/game/live/184134823158
2026-09-20,rapid,Queens Pawn Opening Horwitz Defense,26,black,middlegame,True,23.1,d5,Bg5,2r2rk1/4bpp1/2Pp3p/1p2p3/1P2P3/2N3P1/6P1/2R2RK1 b - - 1 26,https://www.chess.com/game/live/184086845326
2026-09-20,rapid,Queens Pawn Opening Horwitz Defense,36,black,middlegame,True,40.4,g5,Rfxd7,3r2k1/3P1rp1/4Np1p/4p3/8/6P1/2R3P1/3R3K b - - 4 36,https://www.chess.com/game/live/184086845326
2026-09-19,rapid,Kings Pawn Opening,8,white,opening,False,45.9,Qg4,Qf3,r1bqk2r/ppp1bppp/2n5/3pP2n/5Q2/2P4P/PP1P1PP1/RNB1KBNR w KQkq - 1 8,https://www.chess.com/game/live/184079367608
2026-09-17,rapid,Grob Opening Grob Gambit with,11,black,opening,False,52.4,c5,Ng6,rn2kb1r/p3npp1/1pp2q1p/4p3/4P1b1/2PQB2N/PP2NPBP/2KR3R b kq - 1 11,https://www.chess.com/game/live/180025432232
2026-09-17,rapid,Kings Fianchetto Opening,29,black,middlegame,False,41.1,Ra8,Qd6,5nk1/r3q2p/1p2p1pQ/p1pP4/P7/1P4P1/6BP/5RK1 b - - 0 29,https://www.chess.com/game/live/180025119612
2026-09-17,rapid,Kings Fianchetto Opening,31,black,middlegame,False,45.2,Rxd5,Qd6,3r1nk1/4q2p/1p2p1p1/p1pP4/P7/1P4P1/3Q2BP/4R1K1 b - - 4 31,https://www.chess.com/game/live/180025119612
2026-09-16,rapid,Kings Pawn Opening,26,white,middlegame,False,27.0,Nb3,Ba4,2b1r1k1/p1p1r1b1/2n3pp/2N1p3/5p2/2PP1P2/PPB2P2/2BRR1K1 w - - 2 26,https://www.chess.com/game/live/174540712872
2026-09-16,rapid,Kings Pawn Opening,32,white,middlegame,False,27.2,Nf5,Kg2,2b1r1k1/p5b1/7p/2p1n1p1/3N1p2/2P2P2/PP3P2/2BRR1K1 w - - 0 32,https://www.chess.com/game/live/174540712872
2026-09-15,rapid,Scandinavian Defense,6,white,opening,True,48.3,Bb5+,Nxe5,r2qkbnr/pp2pppp/8/2ppn3/6b1/P1P2N2/1P1P1PPP/RNBQKB1R w KQkq - 0 6,https://www.chess.com/game/live/174537660674
2026-09-15,rapid,Bishops Opening,12,black,opening,False,20.8,exf4,Nf6,rn2k1nr/1p2bpp1/p1pp2qp/3Pp3/4bP2/PBN1B1P1/1PP1N2P/R2QK1R1 b Qkq - 1 12,https://www.chess.com/game/live/174494936544
2026-09-15,rapid,Bishops Opening,16,black,middlegame,True,21.9,d5,Bxc2,rn2k1nr/4bppq/p1pp3p/8/3QbNP1/PBN1B3/1PP4P/R3K1R1 b Qkq - 1 16,https://www.chess.com/game/live/174494936544
2026-09-15,rapid,Vienna Game,8,black,opening,False,20.4,Bh4,Nf6,rnb1k1nr/pp2bpp1/2pp2qp/4p3/4PP2/2NP4/PPP1B1PP/R1BQNRK1 b kq - 0 8,https://www.chess.com/game/live/174490852772
2026-09-15,rapid,Bishops Opening,15,black,middlegame,False,29.5,Nh5,Be6,rn2k2r/3bbpp1/p2p1nqp/8/2B1PR2/2PP3P/1P4PN/RNBQ3K b kq - 0 15,https://www.chess.com/game/live/174490776528
2026-09-15,rapid,Kings Pawn Opening,18,white,middlegame,False,21.9,Rac1,d4,r3k2r/p2q1p2/3pb2p/1pp1b1p1/4Pp2/1PPP3P/P2NBPPQ/R4RK1 w kq - 0 18,https://www.chess.com/game/live/174490324942
2026-09-15,rapid,Kings Pawn Opening,45,white,middlegame,False,56.4,d6,Ng4+,6r1/8/pR4nk/P2PN3/1P2b3/2P3P1/5P2/6K1 w - - 2 45,https://www.chess.com/game/live/174489804080
2026-09-15,rapid,Kings Pawn Opening,46,white,middlegame,False,45.0,d7,Nd7,6r1/8/pR1P2n1/P3N2k/1P2b3/2P3P1/5P2/6K1 w - - 1 46,https://www.chess.com/game/live/174489804080
2026-09-15,rapid,Kings Pawn Opening,61,white,endgame,False,52.3,Rd6,Rg8,8/8/P5R1/5k2/1PP5/6P1/1n1K1Pb1/8 w - - 3 61,https://www.chess.com/game/live/174489804080
2026-09-13,rapid,Kings Pawn Opening Kings Knight Variation,12,black,opening,False,22.5,Qh5,Be6,rn2k1nr/p3bpp1/2pp2qp/4p3/4P1b1/2N1BN2/PPP1BPPP/R2QRK2 b kq - 5 12,https://www.chess.com/game/live/174440111130
2026-09-13,rapid,Kings Pawn Opening Kings Knight Variation,15,black,middlegame,True,28.9,Qf6,Qe6,rn2k1nr/p3bpp1/2pp2qp/4p2B/4P3/2N1B2P/PPP2PP1/R2QRK2 b kq - 2 15,https://www.chess.com/game/live/174440111130
2026-09-13,rapid,Sicilian Defense,18,white,middlegame,True,43.9,Qxc5,Qxh3,r2q1rk1/1p3pb1/p1n2npp/P1p1p3/2N5/1PPPQ2b/1B2NP2/R2BK1R1 w Q - 0 18,https://www.chess.com/game/live/174431315892
2026-09-13,rapid,Scandinavian Defense,11,white,opening,False,32.3,Qxd3,Nxc6,2kr1bnr/p1p2ppp/1pb1p3/3qP3/3N4/2Pp2Q1/PP1P1PPP/RNB2RK1 w - - 0 11,https://www.chess.com/game/live/174395417194
2026-09-13,rapid,Philidor Defense,15,black,middlegame,True,24.7,Bc5,Qxf3,r1b1k1nr/5pp1/1bpp1q1p/p3p3/P3P1P1/1BN2N1P/1PPQ1P2/R3K2R b KQkq - 1 15,https://www.chess.com/game/live/174395249140
2026-09-12,rapid,Van t Kruijs Opening,7,black,opening,False,22.4,Bh3,h5,rnb1k1nr/ppp1bpp1/3p2qp/4P3/8/4P3/PPPPB1PP/RNBQNRK1 b kq - 0 7,https://www.chess.com/game/live/174378532450
2026-09-12,rapid,Scandinavian Defense,36,white,middlegame,False,26.6,Nc7,bxc6,8/pp1n2pk/2p1Nr1p/PP1p3K/3P4/8/8/2R5 w - - 7 36,https://www.chess.com/game/live/174348292480
2026-09-12,rapid,Kings Pawn Opening Kings Knight Variation,14,black,middlegame,True,22.0,Qe6,Bxg4,rnb1k1nr/4b1p1/2p2q1p/pp2N3/1P2P1N1/3Q4/P1P2PPP/R1B2RK1 b kq - 2 14,https://www.chess.com/game/live/174348125122
2026-09-10,rapid,Kings Pawn Opening Kings Knight Variation,33,black,endgame,False,73.5,a6,Kd4,7r/p7/1p3R2/2k5/2P5/1P5p/P2K2nP/8 b - - 0 33,https://www.chess.com/game/live/174253528806
2026-09-10,rapid,Kings Pawn Opening Kings Knight Variation,36,black,endgame,False,67.1,Kc5,Kb7,8/8/ppk2R2/8/2P4r/1PK4p/P5nP/8 b - - 5 36,https://www.chess.com/game/live/174253528806
2026-09-10,rapid,Kings Pawn Opening,17,white,middlegame,False,20.1,Bd4,f4,r5k1/pppn2b1/3pbqpp/4n2r/8/2P1B1QP/PPB1NPP1/RN3RK1 w - - 0 17,https://www.chess.com/game/live/174253308196
2026-09-10,rapid,Kings Pawn Opening,19,white,middlegame,False,22.4,Nf4,f4,r5k1/pp4b1/3pbqpp/2p1n2r/8/2P3QP/PPB1NPP1/RN3RK1 w - - 0 19,https://www.chess.com/game/live/174253308196
2026-09-08,rapid,Kings Pawn Opening,17,white,middlegame,False,28.1,Qf3,Qc4,r4rk1/ppp3bp/3q2p1/3n1b2/4Q3/2P4P/PP1BNPP1/RN3RK1 w - - 1 17,https://www.chess.com/game/live/174176118952
2026-09-08,rapid,Kings Pawn Opening,25,white,middlegame,True,78.7,Bxf4,Qxd8+,3r2k1/ppp2r1p/2b3pB/5q2/2NQ1n2/2P4P/PP3PP1/R3R1K1 w - - 9 25,https://www.chess.com/game/live/174176118952
2026-09-08,rapid,Kings Pawn Opening,26,white,middlegame,True,25.8,Qxf4,Qxd8+,3r2k1/ppp2r1p/2b3p1/8/2NQ1q2/2P4P/PP3PP1/R3R1K1 w - - 0 26,https://www.chess.com/game/live/174176118952
2026-09-08,rapid,Kings Pawn Opening,27,white,middlegame,False,46.6,f3,b3,3r2k1/ppp4p/2b3p1/8/2N2r2/2P4P/PP3PP1/R3R1K1 w - - 0 27,https://www.chess.com/game/live/174176118952
2026-09-08,rapid,Kings Pawn Opening,40,white,middlegame,False,23.0,c5,cxb5,8/2p5/2b2kp1/1p4rp/2P5/1P2N2P/6P1/4R1K1 w - - 2 40,https://www.chess.com/game/live/174176118952
2026-09-08,rapid,Kings Pawn Opening,41,white,middlegame,True,54.3,Kf2,h4,8/2p5/2b3p1/1pP1k1rp/8/1P2N2P/6P1/4R1K1 w - - 1 41,https://www.chess.com/game/live/174176118952
2026-09-08,rapid,Kings Pawn Opening Kings Knight Variation,17,black,middlegame,False,23.6,Kh7,Nxg6,r2b1rk1/p3npp1/1npB2Rp/8/4P3/1BN5/PPP3PP/R2bN1K1 b - - 0 17,https://www.chess.com/game/live/174175670470
2026-09-08,rapid,Kings Pawn Opening Kings Knight Variation,26,black,middlegame,False,26.3,axb4,Rxc4,r5k1/5pp1/3pq2p/p1r1p3/QPP1P3/5PP1/P5KP/3R4 b - - 0 26,https://www.chess.com/game/live/174175410754
2026-09-07,rapid,Scandinavian Defense,35,white,middlegame,False,22.5,Qb5,Qf8+,k7/p2r1p2/4p3/3pP1qp/1QpP4/3b1RP1/1P3P2/R5K1 w - - 2 35,https://www.chess.com/game/live/174107383230
2026-09-07,rapid,Scandinavian Defense,36,white,middlegame,True,28.9,Qc6,Qe8+,k7/pr3p2/4p3/1Q1pP1qp/2pP4/3b1RP1/1P3P2/R5K1 w - - 4 36,https://www.chess.com/game/live/174107383230
2026-09-07,rapid,Scandinavian Defense,37,white,middlegame,False,37.6,Ra6,Qe8+,1k6/pr3p2/2Q1p3/3pP1qp/2pP4/3b1RP1/1P3P2/R5K1 w - - 6 37,https://www.chess.com/game/live/174107383230
2026-09-07,rapid,Scandinavian Defense,39,white,middlegame,True,47.5,Qd6+,Qe8+,1k6/pr3p2/R1Q1p3/3pP2p/2pPb3/5RP1/1P3PK1/2q5 w - - 10 39,https://www.chess.com/game/live/174107383230
2026-09-07,rapid,Scandinavian Defense,42,white,middlegame,True,45.9,Kxf3,Qxf3,kr6/p4Q2/R3p3/3pP2p/2pP4/5bP1/1P3PK1/2q5 w - - 0 42,https://www.chess.com/game/live/174107383230
2026-09-06,rapid,Kings Pawn Opening,16,white,middlegame,False,32.1,b4,f4,2kr1r2/2pbq3/p1np2p1/1p2pp1p/4P3/2PPQ2P/PPBNNPP1/R4RK1 w - - 0 16,https://www.chess.com/game/live/174098730162
2026-09-06,rapid,Kings Pawn Opening,21,white,middlegame,False,45.6,c4,d4,Rnkr3r/2pbq3/3p4/1p2p1pp/1P2Pp2/2PP1Q1P/2BNNPP1/5RK1 w - - 2 21,https://www.chess.com/game/live/174098730162
2026-09-06,rapid,Kings Pawn Opening,22,white,middlegame,False,46.3,Ra5,Rfa1,Rn1r3r/1kpbq3/3p4/1p2p1pp/1PP1Pp2/3P1Q1P/2BNNPP1/5RK1 w - - 1 22,https://www.chess.com/game/live/174098730162
2026-09-06,rapid,Kings Pawn Opening,24,white,middlegame,False,60.7,Ba4,d4,2kr3r/2pbq3/2np4/1R2p1pp/1PP1Pp2/3P1Q1P/2BNNPP1/5RK1 w - - 1 24,https://www.chess.com/game/live/174098730162
2026-09-06,rapid,Kings Fianchetto Opening,19,black,middlegame,True,71.0,b6,cxd4,r4rk1/pp1q1ppp/n2P1n2/1Np5/3Q4/1P4P1/P1P1RPBP/3R2K1 b - - 0 19,https://www.chess.com/game/live/174082575800
2026-09-06,rapid,Kings Fianchetto Opening,20,black,middlegame,True,72.2,Rxa8,cxd4,B4rk1/p2q1ppp/np1P1n2/1Np5/3Q4/1P4P1/P1P1RP1P/3R2K1 b - - 0 20,https://www.chess.com/game/live/174082575800
2026-09-06,rapid,Kings Fianchetto Opening,21,black,middlegame,True,47.5,Qxb5,cxd4,r5k1/p2qRppp/np1P1n2/1Np5/3Q4/1P4P1/P1P2P1P/3R2K1 b - - 1 21,https://www.chess.com/game/live/174082575800
2026-09-06,rapid,Kings Fianchetto Opening,22,black,middlegame,True,77.9,Nxd7,cxd4,r5k1/p2PRppp/np3n2/1qp5/3Q4/1P4P1/P1P2P1P/3R2K1 b - - 0 22,https://www.chess.com/game/live/174082575800
2026-09-06,rapid,Caro Kann Defense,10,white,opening,False,20.8,Bd1,Bg5,r2q1rk1/pp3ppp/2nbbn2/3pp3/8/1BPP1Q2/PP2NPPP/RNB2RK1 w - - 5 10,https://www.chess.com/game/live/174082248920
2026-09-06,rapid,Caro Kann Defense,20,white,middlegame,True,68.6,Bg4,Nxe6,r4rk1/pp4pp/4bp2/4nq2/4pN2/2P3Q1/PP4PK/RNBB4 w - - 4 20,https://www.chess.com/game/live/174082248920
2026-09-06,rapid,Kings Pawn Opening Kings Knight Variation,9,black,opening,True,27.7,Be6,Bxf3,r2bk1nr/ppp2pp1/2np1q1p/4p2P/4P1bR/2PP1N2/PP2BP2/RNBQK3 b Qkq - 2 9,https://www.chess.com/game/live/174082090494
2026-09-06,rapid,Owens Defense,19,white,middlegame,False,41.0,Ne5,a4,1r2kb1r/1bpp2pp/p2np1q1/1p3p2/3P4/2P1QN1P/PP2BPP1/R1B2RK1 w k - 4 19,https://www.chess.com/game/live/174061427134
2026-09-06,rapid,French Defense Steinitz Attack,19,white,middlegame,False,33.2,f3,exf6,1r1q1rk1/1bp3b1/p1n4p/PpNpPp2/1P1P2p1/2P5/5PPN/R1BQ1RK1 w - f6 0 19,https://www.chess.com/game/live/174060054144
2026-09-06,rapid,French Defense Steinitz Attack,20,white,middlegame,False,25.8,Ng4,Bf4,1r1q1rk1/1bp3b1/p1n4p/PpNpPp2/1P1P4/2P2Pp1/6PN/R1BQ1RK1 w - - 0 20,https://www.chess.com/game/live/174060054144
2026-09-06,rapid,French Defense Steinitz Attack,30,white,middlegame,True,64.4,Kb3,Nxe4,1r3rk1/1bp3b1/p1n4p/PpNpP3/1P1Pq1p1/2P5/2K3p1/R1BQ2R1 w - - 2 30,https://www.chess.com/game/live/174060054144
2026-09-06,rapid,Bishops Opening,21,black,middlegame,False,67.8,Bc7,f6,rn1b1rk1/4npp1/p1ppq2p/1p6/2PQP3/1P3RP1/PB2NPKP/3R4 b - - 0 21,https://www.chess.com/game/live/174059787524
2026-09-05,rapid,Sicilian Defense,9,white,opening,True,20.2,Na3,Nxe5,r1b2rk1/ppqp1ppp/3bpn2/2p1n3/4P3/2P1QN1P/PP1PBPP1/RNB2RK1 w - - 6 9,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,10,white,opening,True,36.8,Nc2,Nxe5,r1b2rk1/1pqp1ppp/p2bpn2/2p1n3/4P3/N1P1QN1P/PP1PBPP1/R1B2RK1 w - - 0 10,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,14,white,middlegame,True,35.6,Qd4,Qxf4,r1b2rk1/2qp1ppp/p3pn2/1p6/4Pb2/2P1QN1P/PP2BPP1/R1B2RK1 w - - 1 14,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,22,white,middlegame,True,59.5,Rb1,Bxh7+,r1b1r1k1/1q1p1ppp/2n1p3/p3P3/2RQB3/1P3N1P/P4PP1/5RK1 w - - 4 22,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,40,white,middlegame,False,38.1,Rxd7+,Rc7,8/3p3k/4pp1p/1q6/2RR4/5N1P/5PPK/8 w - - 4 40,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,49,white,middlegame,False,47.5,Rf7,Nxe4+,8/1R6/3k1p1R/6Np/4p3/7P/5qPK/8 w - - 2 49,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,52,white,middlegame,False,34.6,Rxh5,Rc6+,8/8/3R3R/6Np/2k1p3/4q2P/6PK/8 w - - 3 52,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Sicilian Defense,54,white,middlegame,True,30.8,Nxe4,Rh4,8/8/3q4/6NR/2k1p3/7P/6P1/6K1 w - - 0 54,https://www.chess.com/game/live/174013564342
2026-09-05,rapid,Kings Pawn Opening Kings Knight Variation,18,black,middlegame,True,28.6,f6,Bxg4,r1bb1rk1/pp2npp1/2p3q1/4p1B1/4P1BP/P1N5/1PPQ1P2/2KR3R b - - 0 18,https://www.chess.com/game/live/174012959870
2026-09-05,rapid,Kings Pawn Opening Kings Knight Variation,33,black,middlegame,True,42.8,Rxh7,Nxh6,5r1k/p5rP/1pp3pB/4bn2/2q1N1Q1/P1P5/1P6/2KR3R b - - 2 33,https://www.chess.com/game/live/174012959870
2026-09-04,rapid,Kings Pawn Opening Kings Knight Variation,12,black,opening,False,27.9,b5,g6,r3k1nr/1pp1bpp1/p1np1q1p/4p3/2BPP2N/2P1B1P1/PP1N1P1P/R4QK1 b kq - 2 12,https://www.chess.com/game/live/173999885624
2026-09-04,rapid,Kings Pawn Opening Kings Knight Variation,13,black,middlegame,False,28.9,a5,exd4,r3k1nr/2p1bpp1/p1np1q1p/1p2p3/3PP2N/1BP1B1P1/PP1N1P1P/R4QK1 b kq - 1 13,https://www.chess.com/game/live/173999885624
2026-09-04,rapid,Kings Pawn Opening Kings Knight Variation,19,black,middlegame,False,21.0,O-O,g5,1r1bk2r/3nnpp1/3p1q1p/p2Pp3/Q3P2N/1BP1B1P1/PP1N1P1P/R5K1 b k - 4 19,https://www.chess.com/game/live/173999885624
2026-09-03,rapid,Kings Pawn Opening Kings Knight Variation,21,black,middlegame,True,28.3,Nc5,Nf6,r1b5/pp1n1Nk1/2p4p/7B/4PP2/2N5/PPP5/2K5 b - - 0 21,https://www.chess.com/game/live/173917270376
2026-09-02,rapid,Scandinavian Defense,31,white,middlegame,False,31.2,Bb4,d5,1n3r1k/4q1pp/4B1p1/B1p1P3/3P3P/1Q4P1/5P2/1N3K2 w - - 0 31,https://www.chess.com/game/live/173903183544
2026-09-01,rapid,Kings Pawn Opening,6,white,opening,False,30.6,Qc4,Qb3,r1bqk2r/1pppbppp/p1n2n2/1Q6/4P3/3P4/PPP2PPP/RNB1KBNR w KQkq - 0 6,https://www.chess.com/game/live/173820843800
2026-09-01,rapid,Kings Pawn Opening,28,white,middlegame,False,27.4,Kh2,Qf5,2r2r1k/1b2q1p1/p4bB1/3p4/2nP4/P1B2N1P/2Q2PP1/R5KR w - - 6 28,https://www.chess.com/game/live/173820843800
2026-09-01,rapid,Kings Pawn Opening,30,white,middlegame,False,78.2,Kg2,Nxh4,2r2r1k/1b4p1/p2q2B1/3p4/2nP3b/P1B2NPP/2Q2P1K/R6R w - - 1 30,https://www.chess.com/game/live/173820843800
2026-09-01,rapid,Kings Pawn Opening,31,white,middlegame,False,43.1,fxg3,Qd3,2r2r1k/1b4p1/p2q2B1/3p4/2nP4/P1B2NbP/2Q2PK1/R6R w - - 0 31,https://www.chess.com/game/live/173820843800
2026-09-01,rapid,Kings Pawn Opening Leonardis Variation,19,black,middlegame,True,23.3,Bxc3,Ba5,1r2k2r/BP1nnpp1/B1p2q1p/3pp3/1b2P2N/P1N3Pb/2PQ1P1P/R3K2R b KQk - 0 19,https://www.chess.com/game/live/173820499836
2026-09-01,rapid,Kings Pawn Opening Kings Knight Variation,18,black,middlegame,False,26.1,Rab8,Rae8,r4rk1/pp2Rpp1/2p2n1p/3p1b2/1P3B2/2P2P1P/P5P1/RN4K1 b - - 0 18,https://www.chess.com/game/live/173820334750
2026-09-01,rapid,Kings Pawn Opening,9,white,opening,False,21.1,a3,Nf3,r1b2rk1/pp2bppp/2n2n2/8/2P5/7P/PP1P1PP1/RNB1KBNR w KQ - 0 9,https://www.chess.com/game/live/173820241762
2026-09-01,rapid,Kings Pawn Opening,13,white,middlegame,False,21.6,Nf3,Nc3,r3r1k1/pp3ppp/2n2n2/5b2/1PPb4/P6P/R2PBPP1/1NB1K1NR w K - 5 13,https://www.chess.com/game/live/173820241762
2026-09-01,rapid,Kings Pawn Opening Kings Knight Variation,8,black,opening,False,37.0,Bg4,hxg5,r1b1kbnr/ppp2pp1/2np3p/4p1B1/3Pq3/5N2/PPPQBPPP/RN3RK1 b kq - 1 8,https://www.chess.com/game/live/173819976682
2026-09-01,rapid,Kings Pawn Opening Kings Knight Variation,11,black,opening,False,32.3,Qxd4,Qf5,r3kbnr/ppp2pp1/2np3p/8/3Bq3/5B2/PPPQ1PPP/RN3RK1 b kq - 0 11,https://www.chess.com/game/live/173819976682
2026-08-31,rapid,Kings Pawn Opening,7,white,opening,False,25.9,Bd3,Bxe6,r2qkb1r/ppp2p1p/2npbnp1/4p3/2B1P3/2P2Q1P/PP1P1PP1/RNB1K1NR w KQkq - 1 7,https://www.chess.com/game/live/173798689134
2026-08-31,rapid,Kings Pawn Opening,18,white,middlegame,True,35.4,Bb3,Bxf6,r4rk1/n1p2pb1/3qbnp1/1p2p1Bp/1P1pP3/P2P1Q1P/2BNNPP1/R4RK1 w - - 3 18,https://www.chess.com/game/live/173798689134
2026-08-31,rapid,Kings Pawn Opening,37,white,middlegame,False,21.3,Kg2,gxf4,6k1/6b1/4q3/4p2Q/pP1p1p1P/P2P2P1/5P2/2B3K1 w - - 0 37,https://www.chess.com/game/live/173798689134
2026-08-31,rapid,Kings Pawn Opening,47,white,middlegame,False,44.6,h5,Bxa3,6k1/6b1/8/6Q1/pP1p2PP/q7/7K/2B5 w - - 0 47,https://www.chess.com/game/live/173798689134
2026-08-31,rapid,Queens Pawn Opening Horwitz Defense,8,black,opening,False,23.9,e5,Bf8,r1b1k1nr/1pp1bpp1/p1nppq1p/8/2PP4/2NBP3/PPQBNPPP/R3K2R b KQkq - 7 8,https://www.chess.com/game/live/173798178646
2026-08-31,rapid,Queens Pawn Opening Horwitz Defense,9,black,opening,False,20.8,Nb4,Nb8,r1b1k1nr/1pp1bpp1/p1np1q1p/3Pp3/2P5/2NBP3/PPQBNPPP/R3K2R b KQkq - 0 9,https://www.chess.com/game/live/173798178646
2026-08-31,rapid,Queens Pawn Opening Horwitz Defense,23,black,middlegame,False,22.1,Bf6,a5,r2b1rk1/5pp1/p2q3p/3Pp3/8/P2Q3P/1P1B1PP1/R4RK1 b - - 0 23,https://www.chess.com/game/live/173798178646
2026-08-31,rapid,Queens Pawn Opening Horwitz Defense,24,black,middlegame,False,26.4,Rab8,Rfd8,r4rk1/5pp1/p2q1b1p/3Pp3/4Q3/P6P/1P1B1PP1/R4RK1 b - - 2 24,https://www.chess.com/game/live/173798178646
2026-08-29,rapid,Kings Pawn Opening,21,white,middlegame,False,40.8,Bg5,Na5,r2r2k1/1bp1npbp/p5p1/4p3/1PN1n3/2P4P/P1B1NPP1/R1B2RK1 w - - 2 21,https://www.chess.com/game/live/173717586968
2026-08-29,rapid,Kings Pawn Opening,8,white,opening,False,22.8,c3,Bxc6,2kr1b1r/ppp2ppp/2npbq1n/1B2p2Q/4P3/3P1N1P/PPP2PP1/RNB1K2R w KQ - 1 8,https://www.chess.com/game/live/173717354444
2026-08-29,rapid,Kings Pawn Opening,17,white,middlegame,False,21.2,g4,Be2,2kr1br1/ppp4p/3pb2p/1B2p2q/3PQ2n/2P4P/PP1N1PP1/RN3RK1 w - - 3 17,https://www.chess.com/game/live/173717354444
2026-08-29,rapid,Kings Pawn Opening,20,white,middlegame,False,20.9,Bc4,Qg3,2kr1br1/ppp4p/3p3p/1B1qPb2/6Pn/2P1Q2P/PP1N1P2/RN3RK1 w - - 3 20,https://www.chess.com/game/live/173717354444
